active_usage	auth-registration-login-reset-profile-account-deletion	src/app/login;src/app/registrati;src/app/api/account/delete
active_usage	course-lesson-module-completion-and-progress	src/app/lezioni;src/app/lezioni/[lessonId]/[moduleId]
active_usage	full-hand-play-result-xp-and-analysis	src/app/gioca/smazzata;src/app/gioca/analisi
active_usage	daily-and-weekly-challenges	src/app/gioca/mano-del-giorno;src/app/gioca/sfida-settimanale
active_usage	friend-request-acceptance-and-asynchronous-challenge	src/app/amici;src/app/gioca/sfida-amico
active_usage	forum-post-comment-like-and-poll	src/app/forum
active_usage	instructor-request-and-admin-review	src/app/diventa-istruttore;src/app/admin/istruttori
active_usage	class-join-assignment-chat-and-leaderboard	src/app/classi;src/app/istruttori/[classId]
active_usage	club-search-and-profile	src/app/trova-circolo;src/app/circolo/[slug]
active_usage	error-review-and-leitner-retry	src/app/ripasso;src/lib/spaced-review.ts
implemented	hand-generation-dds-par-pbn-and-class-assignment	src/app/istruttori/genera-mani
active_usage	partner-opt-in-filter-score-and-friend-request	src/app/trova-compagno;src/lib/partner-matching.ts
implemented	generated-trick-quiz-answer-score-and-next-question	src/app/gioca/quiz-prese
implemented	instructor-whiteboard-and-teaching-material	src/app/istruttori/lavagna;src/app/istruttori/dispensa
implemented	instructor-hand-studio-and-archive	src/app/istruttori/studio;src/app/istruttori/archivio
initial_usage	live-class-table-seat-hidden-hands-play-and-reveal	src/app/istruttori/tavolo;src/app/classe/[classId]/tavolo
implemented	opening-choice-quiz	src/app/gioca/cosa-apri
implemented	contract-choice-quiz	src/app/gioca/quale-contratto
initial_usage	shared-hand-bidding-field-comparison	src/app/gioca/licita;src/lib/mani-condivise.ts
implemented_no_usage	two-player-bidding-with-hidden-opponent-hands	src/app/gioca/licita-amico;src/app/api/licita/avversario
implemented_no_usage	pair-challenge-on-shared-boards	src/app/gioca/sfida-coppie;src/lib/sfida-coppie.ts
initial_usage	bidding-tournament-hand-result-and-leaderboard	src/app/gioca/torneo-licita;src/lib/mani-condivise.ts
